2023:12:06 19:06:25 ===> File Opened Successfully

2023:12:06 19:06:25 ===> Calling AEDController Constructor
2023:12:06 19:06:25 ===> Main Function
2023:12:06 19:06:32 ===> AED Powering On
2023:12:06 19:06:32 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:32 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:32 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:32 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:33 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:33 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:33 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:33 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:33 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:34 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:34 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:34 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:34 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:34 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:35 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:35 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:35 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:35 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:35 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:36 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:36 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:36 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:36 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:36 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:37 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:37 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:37 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:37 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:37 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:38 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:38 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:38 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:38 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:38 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:39 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:39 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:39 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:39 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:40 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:40 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:40 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:40 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:40 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:41 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:41 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:41 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:41 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:41 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:42 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:42 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:42 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:42 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:42 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:43 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:43 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:43 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:43 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:43 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:44 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:44 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:44 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:44 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:44 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:45 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:45 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:45 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:45 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:45 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:46 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:46 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:46 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:46 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:46 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:47 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:47 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:47 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:47 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:47 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:48 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:48 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:48 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:48 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:48 ===> Calling AEDController PowerOff
2023:12:06 19:06:48 ===> Cleanup Within AEDController As Thread: 139868481402816
2023:12:06 19:06:48 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:48 ===> Semaphore Released As Thread: 139868315096640
2023:12:06 19:06:48 ===> Run() Loop Ended
2023:12:06 19:06:48 ===> Waiting in AEDWindow::togglepower() ...
2023:12:06 19:06:59 ===> AED Powering On
2023:12:06 19:06:00 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:00 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:00 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:00 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:01 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:01 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:01 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:01 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:01 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:02 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:02 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:02 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:02 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:02 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:03 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:03 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:03 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:03 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:03 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:04 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:04 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:04 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:04 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:04 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:05 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:05 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:05 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:05 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:05 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:06 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:06 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:06 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:06 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:06 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:07 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:07 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:07 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:07 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:07 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:08 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:08 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:08 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:08 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:08 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:09 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:09 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:09 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:09 ===> Calling AEDController PowerOff
2023:12:06 19:06:09 ===> Cleanup Within AEDController As Thread: 139868481402816
2023:12:06 19:06:09 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:09 ===> Semaphore Released As Thread: 139868315096640
2023:12:06 19:06:09 ===> Run() Loop Ended
2023:12:06 19:06:09 ===> Waiting in AEDWindow::togglepower() ...
2023:12:06 19:06:19 ===> AED Powering On
2023:12:06 19:06:19 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:19 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:19 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:19 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:20 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:20 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:20 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:20 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:20 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:21 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:21 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:21 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:21 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:22 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:22 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:22 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:22 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:22 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:23 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:23 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:23 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:23 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:23 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:24 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:24 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:24 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:24 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:24 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:25 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:25 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:25 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:25 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:25 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:26 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:26 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:26 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:26 ===> AEDController Looping As 139868315096640
2023:12:06 19:06:26 ===> AEDController Looping As 139868315096640
